order,family,genus,subgenus,synonym,authorityAuthor,authorityYear,typeSpecies,authorityCitation,authorityLink,validTaxon,nominalName,lapsus,partum,preoccupied,unavailableName,nomenNudum,nomenDubium,nomenOblitum,comments,synonymCitations,NAm_rod
RODENTIA,APLODONTIIDAE,Aplodontia,NA,Aplodontia,J. Richardson,1829,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,APLODONTIIDAE,Aplodontia,NA,Apludontia,J. B. Fischer,1830,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,APLODONTIIDAE,Aplodontia,NA,Apluodontia,J. Richardson,1837,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,APLODONTIIDAE,Aplodontia,NA,Haplodon,Wagler,1830,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,APLODONTIIDAE,Aplodontia,NA,Haplodus,Coues,1877,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,APLODONTIIDAE,Aplodontia,NA,Haploodon,Brandt,1855,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,APLODONTIIDAE,Aplodontia,NA,Haploodus,Coues,1877,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,APLODONTIIDAE,Aplodontia,NA,Haploudon,Coues,1877,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,APLODONTIIDAE,Aplodontia,NA,Haploudontia,Coues,1889,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,APLODONTIIDAE,Aplodontia,NA,Haploudus,Coues,1877,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,APLODONTIIDAE,Aplodontia,NA,Hapludon,Brandt,1855,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CASTORIDAE,Castor,NA,Castor,Linnaeus,1758,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CASTORIDAE,Castor,NA,Fiber,Dumeril,1806,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CASTORIDAE,Castor,NA,Mamcastorus,Herrera,1899,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Alexandromys,NA,Alexandromys,Ognev,1914,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Alexandromys,NA,Pallasiinus,Kretzoi,1964,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Alexandromys,NA,Oecomicrotus,Rabeder,1981,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Alexandromys,NA,Suranomys,Chaline,1972,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Arborimus,NA,Arborimus,W. P. Taylor,1915,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Arborimus,NA,Paraphenacomys,Repenning & Grady,1988,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Baiomys,NA,Baiomys,F. W. True,1894,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Clethrionomys,NA,Clethrionomys,Tilesius,1850,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Clethrionomys,NA,Evotomys,Coues,1874,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Clethrionomys,NA,Glareomys,Rasorenova,1952,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Dicrostonyx,NA,Dicrostonyx,Gloger,1841,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Dicrostonyx,NA,Borioikon,Poliakov,1881,,,,0,1,0,0,0,0,0,0,0,"preoccupied by Brisson, 1762, Gronovius, 1763, and Mayer, 1790",,1
RODENTIA,CRICETIDAE,Dicrostonyx,NA,Cuniculus,Wagler,1830,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Dicrostonyx,NA,Misothermus,Hensel,1855,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Dicrostonyx,NA,Tylonyx,Schulze,1897,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Habromys,NA,Habromys,Hooper & Musser,1964,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Handleyomys,NA,Handleyomys,"Voss, Gómez-Laverde, & Pacheco",2002,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Hodomys,NA,Hodomys,Merriam,1894,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Lemmiscus,NA,Lemmiscus,O. Thomas,1912,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Lemmus,NA,Lemmus,Link,1795,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Lemmus,NA,Myodes,Pallas,1811,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Lemmus,NA,Brachyurus,G. Fischer,1813,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Lemmus,NA,Hypudaeus,Illiger,1811,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Lemmus,NA,Lemnus,J. E. Gray,1825,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Lemmus,NA,Lemmus,Rochebrune,1843,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Lemmus,NA,Mirus,Brunner,1938,,,,0,1,0,0,0,0,0,0,0,"preoccupied by Albers, 1850",,1
RODENTIA,CRICETIDAE,Lemmus,NA,Miromus,Brunner,1951,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Megadontomys,NA,Megadontomys,Merriam,1898,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Microtus,Schrank,1798,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Agricola,Blasius,1857,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Ammomys,Bonaparte,1831,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Arbusticola,Shidlovsky,1919,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Arvalomys,Chaline,1974,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Aulacomys,Rhoads,1894,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Blanfordimys,Argyropulo,1933,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Bicunedens,Hodgson,1863,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Campicola,Schulze,1890,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Campicoloma,Strand,1928,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Chilotus,S. F. Baird,1857,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Euarvicola,Acloque,1899,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Herpetomys,Merriam,1898,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Iberomys,Chaline,1972,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Isodelta,Cope,1871,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Meridiopitymys,Chaline,1974,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Micrurus,Major,1877,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Mynomes,Rafinesque,1817,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Orthriomys,Merriam,1898,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Parapitymys,Chaline,1978,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Pedomys,S. F. Baird,1858,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Pinemys,Lesson,1836,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Pitymys,McMurtrie,1831,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Psammomys,Le Conte,1830,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Sumeriomys,Argyropulo,1933,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Sylvicola,Fatio,1867,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Tetramerodon,Rhoads,1894,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Terricola,Fatio,1867,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Tibercola,"Koenigswald, Fejfar, & Tchernov",1992,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Microtus,NA,Tyrrhenicola,Major,1905,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Nelsonia,NA,Nelsonia,Merriam,1897,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Neofiber,NA,Neofiber,F. W. True,1884,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Neofiber,NA,Schistodelta,Cope,1899,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Neotoma,NA,Neotoma,Say & Ord,1825,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Neotoma,NA,Homodontomys,E. A. Goldman,1910,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Neotoma,NA,Parahodomys,Gidley & Gazin,1933,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Neotoma,NA,Parneotoma,Hibbard,1967,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Neotoma,NA,Teonoma,J. E. Gray,1843,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Neotoma,NA,Teanopus,Merriam,1903,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Neotomodon,NA,Neotomodon,Merriam,1898,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Nyctomys,NA,Nyctomys,Saussure,1860,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Ochrotomys,NA,Ochrotomys,Osgood,1909,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Oligoryzomys,NA,Oligoryzomys,Bangs,1900,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Ondatra,NA,Ondatra,Link,1795,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Ondatra,NA,Fiber,G. Cuvier,1800,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Ondatra,NA,Moschomys,Billberg,1827,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Ondatra,NA,Mussacus,Oken,1816,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Ondatra,NA,Neondatra,Hibbard,1937,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Ondatra,NA,Pliopotamys,Wilson,1933,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Ondatra,NA,Simotes,G. Fischer,1817,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Onychomys,NA,Onychomys,S. F. Baird,1857,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Oryzomys,NA,Oryzomys,S. F. Baird,1857,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Oryzomys,NA,Micronectomys,Hershkovitz,1948,,,,0,1,0,0,0,0,0,0,0,,nomen nudum,1
RODENTIA,CRICETIDAE,Osgoodomys,NA,Osgoodomys,Hooper & Musser,1964,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Otonyctomys,NA,Otonyctomys,Anthony,1932,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Ototylomys,NA,Ototylomys,Merriam,1901,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Peromyscus,NA,Peromyscus,Gloger,1841,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Peromyscus,NA,Haplomylomys,Osgood,1904,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Peromyscus,NA,Sitomys,Fitzinger,1867,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Peromyscus,NA,Vesperimus,Coues,1874,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Peromyscus,NA,Trinodontomys,Rhoads,1894,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Phenacomys,NA,Phenacomys,Merriam,1889,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Phenacomys,NA,Propliophenacomys,L. D. Martin,1975,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Podomys,NA,Podomys,Osgood,1909,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Reithrodontomys,NA,Reithrodontomys,Giglioli,1874,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Reithrodontomys,NA,Aporodon,A. H. Howell,1914,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Reithrodontomys,NA,Cudahyomys,Hibbard,1944,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Reithrodontomys,NA,Ochetodon,Coues,1874,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Rheomys,NA,Rheomys,O. Thomas,1906,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Rheomys,NA,Neorheomys,G. G. Goodwin,1959,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Scotinomys,NA,Scotinomys,O. Thomas,1913,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Sigmodon,NA,Sigmodon,Say & Ord,1825,,,,1,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Sigmodon,NA,Deilemys,Saussure,1860,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Sigmodon,NA,Lasiomys,Burmeister,1854,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Sigmodon,NA,Sigmomys,O. Thomas,1901,,,,0,1,0,0,0,0,0,0,0,,,1
RODENTIA,CRICETIDAE,Synaptomys,NA,Synaptomys,S. F. Baird,1857,,,,1,1,0,0,0,0,0,0,0,,,1
