genus.x,specificEpithet.x,Genus synonyms,Epithet synonyms,Synonym edits,Main common name,Other common names,Excluded names,Accepted scientific name only,Accepted scientific name + common names,Accepted scientific name + common names + taxonomic synonyms,PubMed Virus Search,PubMed Central Virus Search,Scopus Virus Search,Google Scholar Virus Search 1,Google Scholar Virus Search 2,Google Scholar Virus Search 2,Google Scholar Virus Search 3
Aplodontia,rufa,Aplodontia|Apludontia|Apluodontia|Haplodon|Haplodus|Haploodon|Haploodus|Haploudon|Haploudontia|Haploudus|Hapludon,leporina|californica|major|olympica|pacifica|phaea|rainieri|chryseola|nigra|columbiana|grisea|humboldtiana,,Mountain Beaver,Sewellel|Point Arena Mountain Beaver|Point Reyes Mountain Beaver,Boomer,,,,,,,,,,
Castor,canadensis,Castor|Fiber|Mamcastorus,canadensis,,North American Beaver,American Beaver|Canadian Beaver,,,,,,,,,,,
Alexandromys,oeconomus,Alexandromys|Pallasiinus|Oecomicrotus|Suranomys,oeconomus,Old genus name: Microtus,Root Vole,Tundra Vole,,,,,,,,,,,
Arborimus,albipes,Arborimus|Paraphenacomys,Phenacomys_albipes,,White-footed Vole,,,,,,,,,,,,
Arborimus,longicaudus,Arborimus|Paraphenacomys,Phenacomys_longicaudus,,Red Tree Vole,Reddish Tree Mouse,Reddish Tree Mouse,,,,,,,,,,
Arborimus,pomo,Arborimus|Paraphenacomys,pomo,,Sonoma Tree Vole,California Red Tree Mouse|California Red Tree Vole|Pomo Tree Vole,,,,,,,,,,,
Baiomys,musculus,Baiomys,Sitomys_musculus,,Southern Pygmy Mouse,,Sitomys musculus,,,,,,,,,,
Baiomys,taylori,Baiomys,paulus|allex|subater|analogus|ater|canutus|fuliginatus,,Northern Pygmy Mouse,,"paulus, allex, subater, analogus, ater, canutus, fuliginatus",,,,,,,,,,
Clethrionomys,californicus,Clethrionomys|Evotomys|Glareomys,Evotomys californicus|Clethrionomys mazama|Evotomys mazama|Clethrionomys obscurus|Evotomys obscurus,,Western Red-backed Vole,California Red-backed Vole,"""Clethrionomys obscurus""",,,,,,,,,,
Clethrionomys,gapperi,Clethrionomys|Evotomys|Glareomys,gapperi|carolinensis|galei|occidentalis|brevicaudus|idahoensis|rhoadsii|fuscodorsalis|ochraceus|pygmaeus|saturatus|loringi|nivarius|proteus|ungava|wrangeli|caurinus|athabascae|phaeus|limitis|maurus|gaspeanus|hudsonius|pallescens|rufescens|paludicola|uintaensis|cascadensis|rupicola|arizonensis|gauti|solus|stikinensis,,Southern Red-backed Vole,Boreal Red-backed Vole|Gapper’s Red-backed Vole|Revillagigedo Island Red-backed Vole,,,,,,,,,,,
Clethrionomys,rutilus,Clethrionomys|Evotomys|Glareomys,rutilus|amurensis|dawsoni|alascensis|orca|jochelsoni|mikado|insularis|mollessonae|baikalensis|laticeps|otus|parvidens|jacutensis|volgensis|albiventer|dorogostaiskii|hintoni|hintoni|lenaensis|latigriseus|narymensis|glacialis|watsoni|washburni|rjabovi|platycephalus|finmarchius,,Northern Red-backed Vole,Red Vole,,,,,,,,,,,
Dicrostonyx,groenlandicus,Dicrostonyx|Borioikon|Cuniculus|Misothermus|Tylonyx,groenlandicus|rubricatus|alascensis|kilangmiutak|vinogradovi|clarus|lentus,,Nearctic Collared Lemming,Bering Collared Lemming|Greenland Collared Lemming|Northern Collared Lemming|Northern Hoofed Lemming|Northern Varying Lemming,,,,,,,,,,,
Dicrostonyx,hudsonius,Dicrostonyx|Borioikon|Cuniculus|Misothermus|Tylonyx,hudsonius,,Ungava Collared Lemming,Labrador Collared Lemming,,,,,,,,,,,
