genus.x,Genus synonyms,Main common name,Other common names,Excluded names
Aplodontia,Aplodontia|Apludontia|Apluodontia|Haplodon|Haplodus|Haploodon|Haploodus|Haploudon|Haploudontia|Haploudus|Hapludon,Mountain Beaver,Sewellel|Point Arena Mountain Beaver|Point Reyes Mountain Beaver,Boomer
Castor,Castor|Fiber|Mamcastorus,North American Beaver,American Beaver|Canadian Beaver,
Alexandromys,Alexandromys|Pallasiinus|Oecomicrotus|Suranomys,Root Vole,Tundra Vole,
Arborimus,Arborimus|Paraphenacomys,White-footed Vole,,
Baiomys,Baiomys,Southern Pygmy Mouse,,Sitomys musculus
Clethrionomys,Clethrionomys|Evotomys|Glareomys,Western Red-backed Vole,California Red-backed Vole,"""Clethrionomys obscurus"""
Dicrostonyx,Dicrostonyx|Borioikon|Cuniculus|Misothermus|Tylonyx,Nearctic Collared Lemming,Bering Collared Lemming|Greenland Collared Lemming|Northern Collared Lemming|Northern Hoofed Lemming|Northern Varying Lemming,
Habromys,Habromys,Chinanteco Deermouse,Chinanteco Crested-tail Mouse,
Handleyomys,Handleyomys,Alfaro’s Rice Rat,Alfaro’s Oryzomys,
Hodomys,Hodomys,Allen’s Woodrat,,
Lemmiscus,Lemmiscus,Sagebrush Vole,,
Lemmus,Lemmus|Myodes|Brachyurus|Hypudaeus|Lemnus|Lemmus|Mirus|Miromus,Nearctic Brown Lemming,,
Megadontomys,Megadontomys,Oaxacan Big-toothed Deermouse,Oaxacan Giant Deermouse,
Microtus,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,California Vole,Amargosa Vole|California Meadow Mouse,
Nelsonia,Nelsonia,Goldman’s Diminutive Woodrat,Nelson and Goldman’s Woodrat,
Neofiber,Neofiber|Schistodelta,Round-tailed Muskrat,,
Neotoma,Neotoma|Homodontomys|Parahodomys|Parneotoma|Teonoma|Teanopus,White-throated Woodrat,,
Neotomodon,Neotomodon,Volcano Deermouse,Mexican Volcano Mouse,
Nyctomys,Nyctomys,Sumichrast’s Vesper Rat,Vesper Rat,
Ochrotomys,Ochrotomys,Golden Mouse,,
Oligoryzomys,Oligoryzomys,Fulvous Pygmy Rice Rat,Fulvous Colilargo|Northern Pygmy Rice Rat,
Ondatra,Ondatra|Fiber|Moschomys|Mussacus|Neondatra|Pliopotamys|Simotes,Common Muskrat,Muskbeaver,
Onychomys,Onychomys,Chihuahuan Grasshopper Mouse,Mearns’s Grasshopper Mouse,
Oryzomys,Oryzomys|Micronectomys,White-bellied Marsh Rice Rat,White Venter Rice Rat,
Osgoodomys,Osgoodomys,Osgood’s Deermouse,Michoacan Deermouse,
Otonyctomys,Otonyctomys,Yucatan Vesper Rat,Hatt’s Vesper Mouse|Hatt’s Vesper Rat|Yucatan Vesper Mouse,
Ototylomys,Ototylomys,La Pera Climbing Rat,La Pera Big-eared Climbing Rat,
Peromyscus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Yukon Deermouse,,
Phenacomys,Phenacomys|Propliophenacomys,Western Heather Vole,,
Podomys,Podomys,Florida Deermouse,Florida Mouse,
Reithrodontomys,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,Baker’s Harvest Mouse,Baker’s Small-toothed Harvest Mouse,
Rheomys,Rheomys|Neorheomys,Mexican Water Mouse,Goodwin’s Water Mouse|Mexican Ichthyomyine,
Scotinomys,Scotinomys,Short-tailed Singing Mouse,Alston’s Brown Mouse|Alston’s Singing Mouse,
Sigmodon,Sigmodon|Deilemys|Lasiomys|Sigmomys,Allen’s Cotton Rat,Brown Cotton Rat,
Synaptomys,Synaptomys|Mictomys|Kentuckomys|Metaxyomys|Praesynaptomys,Northern Bog Lemming,Okanagan Bog Lemming,
Tylomys,Tylomys,Chiapan Climbing Rat,,
Xenomys,Xenomys,Magdalena Woodrat,Magdalena Rat,
Cuniculus,Cuniculus|Agouti|Caelogenus|Caelogenys|Coelogenus|Coelogenys|Mamcoelogenysus|Osteopera|Paca|Stictomys,Lowland Paca,Paca|Spotted Paca,
Dasyprocta,Dasyprocta|Chloromys|Cloromis|Mamdasyproctaus,Mexican Agouti,Mexican Black Agouti,
Coendou,Coendou|Coandu|Coendu|Coendus|Cuandu|Echinoprocta|Sphiggurus|Cercolabes|Sinethere|Sinotherus|Synetheres,Mexican Hairy Porcupine,Mexican Hairy Dwarf Porcupine|Mexican Porcupine|Mexican Tree Porcupine,
Erethizon,Erethizon|Erethison|Eretison|Eretizon|Erithizon|Erythizon,North American Porcupine,Quiller|Quill Pig,
Cratogeomys,Cratogeomys|Craterogeomys|Platygeomys,Yellow-faced Pocket Gopher,,
Geomys,Geomys|Ascomys|Diplostoma|Mamgeomyscus|Neterogeomys|Parageomys|Progeomys|Pseudostoma|Saccophorus,Desert Pocket Gopher,Sand Pocket Gopher|Rio Grande Pocket Gopher|Tularosa Pocket Gopher,
Heterogeomys,Heterogeomys|Macrogeomys,Hispid Pocket Gopher,,
Orthogeomys,Orthogeomys,Giant Pocket Gopher,Oaxacan Pocket Gopher,
Pappogeomys,Pappogeomys,Buller’s Pocket Gopher,Alcorn’s Pocket Gopher,
Thomomys,Thomomys|Plesiothomomys|Tomomys|Megascapheus,Black-and-Brown Pocket Gopher,,
Zygogeomys,Zygogeomys|Gygogeomys,Michoacan Pocket Gopher,,
Chaetodipus,Chaetodipus|Burtognathus,Dalquest’s Pocket Mouse,,
Dipodomys,Dipodomys|Dipodops|Macrocolus|Perodipus,Agile Kangaroo Rat,Nimble Kangaroo Rat|Pacific Kangaroo Rat,
Heteromys,Heteromys|Liomys|Xylomys,Desmarest’s Spiny Pocket Mouse,,
Microdipodops,Microdipodops,Dark Kangaroo Mouse,Owyhee River Kangaroo Mouse,
Perognathus,Perognathus|Abromys|Cricetodipus|Otognosis,White-eared Pocket Mouse,Tehachapi Pocket Mouse,
Ammospermophilus,Ammospermophilus,Harris’s Antelope Squirrel,,
Callospermophilus,Callospermophilus,Common Golden-mantled Ground Squirrel,Green River Basin Golden-mantled Ground Squirrel,
Cynomys,Cynomys|Arctomys|Cynomomus|Mamcynomiscus|Monax|Leucocrossuromys,Gunnison’s Prairie Dog,,
Glaucomys,Glaucomys,Humboldt’s Flying Squirrel,Bachman’s Flying Squirrel|California Coast Flying Squirrel|Cascade Flying Squirrel|Klamath Flying Squirrel|Okanagan Flying Squirrel|Yellow-bellied Flying Squirrel,
Ictidomys,Ictidomys|Ictidomoides,Mexican Ground Squirrel,,
Marmota,Marmota|Arctomys|Glis|Lagomys|Lipura|Marmotops|Petromarmota,Alaska Marmot,,
Neotamias,Neotamias,Alpine Chipmunk,,
Notocitellus,Notocitellus,Tropical Ground Squirrel,,
Otospermophilus,Otospermophilus,Baja California Rock Squirrel,,
Poliocitellus,Poliocitellus,Franklin’s Ground Squirrel,,
Sciurus,Sciurus|Aphrontis|Araeosciurus|Baiosciurus|Echinosciurus|Histriosciurus|Leptosciurus|Macroxus|Mesosciurus|Neosciurus|Oreosciurus|Parasciurus|Simosciurus|Otosciurus|Guerlinguetus|Tenes|Hadrosciurus|Hesperosciurus|Urosciurus,Abert’s Squirrel,Tassel-eared Squirrel|Kaibab Squirrel,
Tamias,Tamias,Eastern Chipmunk,,
Tamiasciurus,Tamiasciurus,Douglas’s Squirrel,Chickaree|Mearn’s Squirrel,
Urocitellus,Urocitellus|Anisonyx,Uinta Ground Squirrel,,
Xerospermophilus,Xerospermophilus,Mohave Ground Squirrel,,
Napaeozapus,Napaeozapus,Woodland Jumping Mouse,,
Zapus,Zapus,Meadow Jumping Mouse,Hudson Bay Jumping Mouse,
